no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets_value,loan_status
5, Graduate, Yes,13.45883704259595,14.77102238760702,2,6.76849321164863,15.068273812173887,1
2, Not Graduate, No,15.341567078850604,16.630919337267223,2,6.668228248417403,17.077445910607096,1
0, Not Graduate, Yes,14.508658238524095,15.747032114495013,4,6.003887067106539,16.432906463791053,1
0, Graduate, No,15.404745967162468,16.733281344102608,8,6.492239835020471,17.220035762941695,1
1, Graduate, No,14.285514812209815,15.201805169084134,10,6.423246963533519,16.283610174181653,1
5, Not Graduate, No,16.034714150714915,17.147715103853763,8,6.269096283706261,17.862064473832543,0
3, Graduate, Yes,15.978833698567334,17.330036654695338,14,5.752572638825633,17.63541829641444,0
5, Not Graduate, Yes,15.46416937585933,16.71142255148467,8,6.697034247666484,17.175885979828397,1
3, Graduate, No,15.90737474309945,16.98938905874274,10,6.1092475827643655,17.73550175288287,0
5, Not Graduate, No,15.90737474309945,17.085079535170806,4,6.063785208687608,17.5339488385916,1
3, Not Graduate, Yes,15.404745967162468,16.759949589762293,4,6.3561076606958915,17.606495257588726,1
4, Graduate, No,15.53827733427679,16.300417291085605,4,6.579251212010101,17.088874605995333,1
3, Graduate, No,15.931766193248746,16.68907525404123,16,6.744059186311348,17.404569704420307,1
2, Not Graduate, Yes,14.648420115681892,16.02378508137718,20,6.415096959171596,16.5563506464056,1
3, Not Graduate, Yes,15.623799493077952,16.87421767762801,2,5.961005339623274,17.236510599602347,1
1, Graduate, No,15.656060350091908,16.660419999923214,12,6.5722825426940075,17.6762402900575,1
4, Graduate, Yes,15.201805169084134,15.943742382861155,8,6.576469569048224,17.154832571369333,1
1, Not Graduate, No,15.803385043104912,16.770420889081343,14,6.396929655216146,17.585970022112107,1
5, Graduate, Yes,15.501909696719672,16.231424425551033,10,6.104793232414985,17.387856223912145,0
4, Not Graduate, No,15.176487367510099,16.118095750958314,10,6.274762021241939,17.04631499322344,0
5, Graduate, No,15.90737474309945,17.04631499322344,8,6.680854678790215,17.872499350943645,1
1, Not Graduate, Yes,15.607270193858982,16.316946591670696,16,6.612041034833092,17.36799741582595,1
3, Graduate, Yes,15.856731016694035,16.75467253293992,2,6.369900982828227,17.460960480260535,1
3, Graduate, Yes,15.274125813221904,16.36495580701484,16,5.849324779946859,16.816230422780546,0
5, Graduate, Yes,15.59046307836746,16.562781536322326,2,6.594413459749778,17.48163305053104,1
0, Not Graduate, Yes,15.123843647884687,16.388122864507256,14,5.955837369464831,17.265498135541893,0
3, Not Graduate, Yes,13.710151153416941,14.508658238524095,18,6.650279048587422,15.803385043104912,1
0, Not Graduate, Yes,15.789591722875162,16.562781536322326,2,5.8944028342648505,17.274976879196945,0
4, Not Graduate, Yes,15.096444681204078,16.333207111220425,18,6.20455776256869,16.677711496036597,0
1, Graduate, No,15.59046307836746,16.536806051605975,2,6.306275286948016,17.437181289122726,0
2, Graduate, No,15.009433329466965,16.283610174181653,4,5.976350909297934,16.749367480991666,1
2, Graduate, Yes,15.404745967162468,16.316946591670696,18,5.869296913133774,17.04235459216419,0
2, Graduate, No,16.001561947061912,17.1654146803266,6,5.908082938168931,18.058275139672464,0
5, Not Graduate, No,15.46416937585933,16.447399470043365,4,6.0473721790462776,17.259128687459263,0
4, Graduate, Yes,15.039286283703994,16.283610174181653,20,6.424869023905388,16.86478364583966,1
2, Graduate, No,15.775605482856605,16.61887099947687,14,6.754604099487962,17.531518703797364,1
5, Not Graduate, No,15.150511887854474,16.166885910365842,10,6.633318433280377,16.90199724044883,1
4, Not Graduate, No,13.710151153416941,15.009433329466965,10,6.476972362889683,15.039286283703994,1
3, Graduate, Yes,15.656060350091908,16.806230339945976,12,6.647688373563329,16.94664751219259,1
1, Not Graduate, Yes,15.732433317205148,16.432906463791053,10,6.779921907472252,17.278116599103036,1
3, Not Graduate, No,15.53827733427679,16.860033043306743,12,6.413458957167357,17.516812556768127,1
2, Graduate, No,15.363073279446223,16.68907525404123,14,6.516193076042964,17.29982287701178,1
3, Graduate, No,15.53827733427679,16.840801682303496,6,6.1903154058531475,17.514340367683854,0
2, Graduate, No,14.346139397261565,15.555976908243359,10,6.401917196727186,16.447399470043365,1
5, Graduate, No,15.623799493077952,16.694709071442087,6,6.745236349484363,17.445170678943438,1
5, Not Graduate, No,14.914123179965662,16.001561947061912,20,6.787844982309579,16.648723960844016,1
3, Graduate, Yes,15.226497775576945,16.496532155171714,16,6.634633357861686,17.189679301485086,1
2, Graduate, Yes,14.285514812209815,15.363073279446223,12,6.368187186350492,16.012735246411598,1
2, Graduate, Yes,15.38412668421143,16.54336345172214,12,6.222576268071369,16.97675731236872,0
2, Graduate, No,15.775605482856605,16.87890152672105,12,6.551080335043404,17.770593072009955,1
4, Graduate, No,15.843658936835498,17.038378443942648,4,6.51025834052315,17.71748324774094,1
2, Not Graduate, Yes,15.150511887854474,16.249124001084017,16,6.502790045915623,16.959662879739987,1
2, Graduate, No,15.671808704579888,16.642824239064897,16,6.159095388491933,17.450461696437877,0
0, Graduate, No,14.845130332288226,15.53827733427679,8,6.736966958001855,16.04552506565036,1
0, Graduate, Yes,15.29711532616119,16.636889503897294,14,6.679599185844383,17.32406648788705,1
0, Graduate, Yes,15.319588176962746,16.166885910365842,20,6.035481432524756,17.11872756803093,0
5, Not Graduate, Yes,14.731801689838349,16.077273760604726,6,5.846438775057725,16.395727463314174,0
4, Not Graduate, No,16.034714150714915,16.892822864593636,6,6.483107351457199,17.994502609560595,1
4, Not Graduate, Yes,15.555976908243359,16.447399470043365,12,6.654152520183219,17.13694300725865,1
0, Not Graduate, Yes,15.843658936835498,17.133326366919263,2,6.082218910376446,17.833693777206424,1
4, Graduate, No,16.108045416114916,17.216707972959764,18,6.208590026096629,17.93454774903691,0
5, Graduate, No,13.45883704259595,14.346139397261565,18,6.630683385642372,15.38412668421143,1
1, Graduate, Yes,15.555976908243359,16.300417291085605,4,6.030685260261263,17.536373082144337,0
0, Not Graduate, No,14.77102238760702,15.943742382861155,18,6.759255270663693,16.41820031748273,1
3, Not Graduate, No,13.122365377402328,13.997832948091215,6,6.630683385642372,14.978661680269907,1
1, Graduate, No,16.04552506565036,17.168917310755116,14,6.48768401848461,18.009700470239046,1
1, Not Graduate, Yes,16.001561947061912,17.281246492014,16,6.568077911411976,17.305939103842178,1
5, Not Graduate, No,14.946912992035967,16.077273760604726,2,6.635946555686647,16.915602891887552,1
4, Graduate, Yes,13.45883704259595,14.690979711984754,14,6.559615237493242,14.845130332288226,1
4, Not Graduate, No,16.08763654656639,17.27182727039325,10,5.8377304471659395,17.71748324774094,0
2, Not Graduate, No,14.946912992035967,16.15731646026544,10,6.042632833682381,17.085079535170806,0
4, Graduate, No,14.77102238760702,15.955576839107596,4,6.654152520183219,16.67198082165602,1
5, Graduate, Yes,15.555976908243359,16.835935492889124,16,6.063785208687608,17.249497794707484,0
5, Not Graduate, Yes,15.990262393084793,17.096421811345913,16,6.302618975744905,18.115513370728085,0
1, Graduate, No,15.424948670398354,16.749367480991666,14,5.786897381366708,17.39624788131366,0
2, Not Graduate, No,15.068273812173887,16.454567959008102,2,5.87493073085203,17.034386422832473,1
2, Graduate, No,15.919644834185693,17.11872756803093,10,6.054439346269371,17.729531586015174,0
2, Graduate, No,15.38412668421143,16.395727463314174,2,6.369900982828227,17.3477362312726,1
1, Graduate, Yes,16.097893045681612,16.86951178681205,4,6.786716950605081,18.228308863426122,1
1, Not Graduate, Yes,15.341567078850604,16.72786127692704,10,6.0014148779611505,17.189679301485086,0
0, Graduate, Yes,13.997832948091215,14.80876270134486,2,6.459904454377535,15.64006001130563,1
5, Graduate, Yes,15.816990693309524,16.963963961454382,20,6.180016653652572,17.826473529363266,0
2, Graduate, Yes,14.285514812209815,15.150511887854474,12,6.278521424165844,16.22245575637265,0
4, Graduate, Yes,15.732433317205148,16.91108821173685,4,6.102558594613569,17.410079360079497,1
2, Not Graduate, No,16.077273760604726,17.25592868483099,12,6.361302477572996,17.768675525917452,1
4, Graduate, No,15.978833698567334,17.284366619252893,8,5.986452005284438,17.996032831717947,0
5, Graduate, No,16.097893045681612,17.442514634955867,18,5.768320995793772,17.713434659296894,0
0, Not Graduate, No,14.914123179965662,15.687312888712007,2,6.418364935936212,16.840801682303496,1
4, Not Graduate, No,15.656060350091908,16.90199724044883,10,6.289715570908998,17.555558322405577,0
4, Not Graduate, Yes,14.88022163978423,16.056220353623207,14,6.660575149839686,16.630919337267223,1
3, Graduate, No,15.150511887854474,16.308716093211594,20,5.8998973535824915,16.98519618065851,0
3, Graduate, No,14.845130332288226,16.056220353623207,10,6.253828811575473,16.796129244469636,0
1, Graduate, Yes,14.508658238524095,15.53827733427679,18,5.771441123130016,16.249124001084017,0
3, Graduate, No,14.978661680269907,15.919644834185693,8,5.7430031878094825,16.942271137784317,0
1, Not Graduate, No,13.997832948091215,15.319588176962746,4,6.0867747269123065,16.02378508137718,1
1, Not Graduate, Yes,15.894952224644102,16.845644306544774,6,6.3473892096560105,17.669904471742225,1
1, Graduate, No,14.285514812209815,15.319588176962746,14,6.513230110912307,16.077273760604726,1
5, Graduate, Yes,15.226497775576945,16.5563506464056,10,6.729824070489475,17.229953199271186,1
2, Not Graduate, No,13.45883704259595,14.346139397261565,10,6.733401891837359,15.123843647884687,1
3, Not Graduate, Yes,15.483217567201578,16.85046359274847,6,6.1903154058531475,17.393458479303888,0
3, Not Graduate, Yes,15.967272877502799,17.281246492014,4,6.210600077024653,17.458346099754813,1
4, Not Graduate, No,15.843658936835498,17.206657637442962,6,6.403574197934815,17.619948374984197,1
0, Graduate, Yes,15.068273812173887,16.447399470043365,16,5.71042701737487,16.897420573630875,0
0, Graduate, No,16.034714150714915,16.929025911619092,10,5.762051382780177,18.07536957278824,0
0, Not Graduate, No,12.206077645517674,13.304686600863562,12,6.52795791762255,13.815511557963774,1
5, Graduate, Yes,15.29711532616119,16.275099485238066,20,6.3818160174060985,16.87890152672105,1
2, Not Graduate, No,15.732433317205148,16.74403413530075,8,6.661854740545311,17.678343340210052,1
4, Not Graduate, No,15.607270193858982,16.74403413530075,2,6.436150368369428,17.31504387055877,1
2, Not Graduate, No,15.274125813221904,16.283610174181653,20,6.553933404025811,17.33300842499618,1
4, Not Graduate, Yes,13.304686600863562,14.403297778421795,8,6.035481432524756,15.424948670398354,0
3, Not Graduate, No,12.611541086966115,13.592368256649284,2,6.129050210060545,14.403297778421795,0
0, Not Graduate, Yes,15.096444681204078,16.108045416114916,12,6.464588303689961,17.01418371633128,1
1, Graduate, Yes,15.404745967162468,16.61887099947687,12,6.0867747269123065,17.088874605995333,0
1, Not Graduate, No,15.702580358511794,16.845644306544774,4,6.030685260261263,17.650652540654736,1
5, Graduate, No,16.012735246411598,17.305939103842178,4,6.651571873589727,17.624392826645856,1
0, Graduate, No,16.02378508137718,16.86478364583966,20,6.361302477572996,17.755148749880647,1
4, Graduate, Yes,15.955576839107596,16.73867219244687,10,6.393590753950631,17.77441716837524,1
0, Not Graduate, Yes,15.803385043104912,17.062001588775953,10,6.502790045915623,17.768675525917452,1
1, Not Graduate, Yes,15.039286283703994,16.08763654656639,20,6.7226297948554485,17.034386422832473,1
4, Not Graduate, Yes,15.702580358511794,16.91108821173685,6,6.78897174299217,17.26866771020271,1
5, Not Graduate, Yes,14.346139397261565,15.607270193858982,18,6.042632833682381,15.90737474309945,0
1, Not Graduate, No,15.64006001130563,16.86478364583966,10,6.148468295917647,17.821023924694696,0
0, Not Graduate, Yes,13.997832948091215,14.914123179965662,4,6.71901315438526,15.843658936835498,1
5, Not Graduate, No,13.910821646859095,15.274125813221904,10,5.963579343618446,16.066802461833923,0
4, Not Graduate, No,16.066802461833923,16.87421767762801,18,5.869296913133774,17.87076774880935,0
4, Not Graduate, Yes,15.068273812173887,15.931766193248746,2,6.8001700683022,17.140546614632086,1
1, Graduate, Yes,15.29711532616119,16.325109901643454,6,6.369900982828227,17.344807971579257,1
0, Graduate, Yes,16.034714150714915,17.196505266322514,2,6.767343125265392,17.91484267828116,1
2, Graduate, Yes,15.717618233614914,17.05418904934434,10,6.513230110912307,17.723525562075203,1
1, Not Graduate, Yes,15.096444681204078,16.14765455028724,12,6.285998094508865,16.915602891887552,0
1, Graduate, No,14.603968372873895,15.978833698567334,12,6.419994928147142,16.15731646026544,1
1, Graduate, Yes,15.671808704579888,16.666217117271472,10,6.779921907472252,17.36225027373553,1
2, Not Graduate, Yes,15.176487367510099,16.24031337217814,12,6.248042874508429,16.71142255148467,0
4, Not Graduate, No,15.068273812173887,16.13789837629371,12,5.811140992976701,17.05418904934434,0
1, Graduate, No,14.731801689838349,15.843658936835498,20,6.790097235513905,16.806230339945976,1
0, Not Graduate, No,15.274125813221904,16.648723960844016,8,6.429719478039138,17.27182727039325,1
1, Not Graduate, Yes,15.990262393084793,17.168917310755116,8,6.448889394146858,17.856805916671252,1
1, Graduate, No,14.690979711984754,16.001561947061912,8,6.728628613084702,16.13789837629371,1
3, Graduate, No,15.009433329466965,16.22245575637265,2,6.493753839851686,17.11134746100564,1
3, Not Graduate, No,15.520258832020865,16.600521861931007,18,6.658011045870748,17.421008430313073,1
5, Graduate, No,14.077875591662238,14.914123179965662,20,6.293419278846481,15.943742382861155,0
0, Graduate, No,15.250595321348806,16.14765455028724,10,6.2285110035911835,17.287477041570536,0
2, Graduate, Yes,15.830413711839864,16.530205368010318,8,6.192362489474872,17.822843761378564,0
5, Not Graduate, No,15.46416937585933,16.316946591670696,20,6.2422232654551655,17.442514634955867,0
5, Not Graduate, Yes,15.830413711839864,16.648723960844016,8,5.707110264748875,17.546011710749845,0
2, Not Graduate, Yes,15.816990693309524,16.51687183802978,20,6.4425401664681985,17.828283484575746,1
1, Graduate, No,15.687312888712007,16.733281344102608,16,6.704414354964107,17.33300842499618,1
5, Not Graduate, Yes,13.592368256649284,14.731801689838349,4,6.660575149839686,15.068273812173887,1
3, Not Graduate, Yes,14.80876270134486,15.623799493077952,14,6.447305862541213,16.791040175221152,1
3, Not Graduate, Yes,15.59046307836746,16.75467253293992,4,6.610696044717759,17.65496289206296,1
4, Not Graduate, Yes,12.206077645517674,13.45883704259595,10,6.511745329644728,13.815511557963774,1
5, Graduate, No,14.914123179965662,15.894952224644102,6,5.811140992976701,16.454567959008102,0
1, Graduate, Yes,14.285514812209815,15.483217567201578,4,6.570882962339584,16.012735246411598,1
4, Not Graduate, Yes,16.056220353623207,17.062001588775953,14,6.740519359606223,18.065433366270153,1
1, Graduate, No,15.816990693309524,16.59432989206649,4,6.486160788944089,17.98217579726988,1
0, Graduate, Yes,13.710151153416941,15.068273812173887,6,5.805134968916488,15.943742382861155,0
2, Graduate, No,13.815511557963774,15.123843647884687,18,6.794586580876499,15.687312888712007,1
0, Graduate, No,14.946912992035967,15.90737474309945,18,6.645090969505644,16.588099342704055,1
4, Graduate, No,15.150511887854474,15.955576839107596,10,6.0330862217988015,17.216707972959764,0
0, Not Graduate, Yes,16.077273760604726,16.98519618065851,12,5.966146739123692,18.150183509360843,0
0, Graduate, No,15.843658936835498,17.172407715573055,6,5.986452005284438,17.778226696719344,0
0, Graduate, Yes,15.775605482856605,16.816230422780546,16,6.6293632534374485,17.399029524198163,1
4, Graduate, No,14.346139397261565,15.274125813221904,18,6.364750756851911,16.316946591670696,1
4, Not Graduate, No,15.843658936835498,16.73867219244687,18,6.659293919683638,17.50188690692275,1
4, Graduate, No,14.508658238524095,15.274125813221904,8,5.924255797414532,16.496532155171714,0
1, Graduate, No,15.919644834185693,16.677711496036597,4,6.413458957167357,17.550796408758714,1
0, Graduate, Yes,15.59046307836746,16.536806051605975,16,5.991464547107982,17.429127554531842,0
0, Graduate, No,15.039286283703994,16.056220353623207,6,6.556778356158042,16.694709071442087,1
2, Not Graduate, Yes,14.914123179965662,15.816990693309524,10,6.569481420414296,16.88356353960952,1
4, Not Graduate, No,15.250595321348806,16.056220353623207,4,6.588926477533519,17.496861770846337,1
4, Not Graduate, No,15.671808704579888,16.51013780630191,6,6.2878585601617845,17.252718409303803,0
0, Not Graduate, Yes,14.403297778421795,15.687312888712007,12,6.591673732008658,16.257857680289998,1
5, Graduate, Yes,15.483217567201578,16.73867219244687,4,5.958424693029782,17.1654146803266,1
2, Graduate, Yes,15.424948670398354,16.58182973008354,16,6.551080335043404,17.50439003707821,1
2, Not Graduate, Yes,14.077875591662238,14.978661680269907,4,6.698268054115413,16.213405921671733,1
5, Not Graduate, Yes,15.856731016694035,16.5563506464056,8,6.0112671744041615,17.65496289206296,0
2, Not Graduate, Yes,15.444751293772967,16.636889503897294,2,6.22455842927536,17.236510599602347,1
4, Graduate, No,12.899222326086994,14.151983508870947,18,6.71901315438526,14.151983508870947,1
2, Not Graduate, No,14.077875591662238,15.319588176962746,6,6.030685260261263,15.424948670398354,0
3, Not Graduate, No,15.123843647884687,15.955576839107596,20,6.74993119378857,17.088874605995333,1
5, Not Graduate, Yes,15.76142084987672,17.10763688174679,4,6.7912214627261855,17.38222240635259,1
4, Graduate, No,15.573368647930426,16.300417291085605,12,6.699500340161678,17.385043282614657,1
4, Not Graduate, Yes,15.123843647884687,16.29204904211537,18,6.455198563340122,17.1618997383427,1
4, Graduate, No,14.978661680269907,16.266515742283485,6,6.455198563340122,16.722411672456456,1
5, Graduate, No,15.501909696719672,16.73867219244687,2,6.289715570908998,17.3180604640072,1
2, Not Graduate, No,15.76142084987672,17.001863232449228,6,6.794586580876499,17.760968358821017,1
0, Not Graduate, Yes,15.789591722875162,16.801192546169812,12,6.490723534502507,17.78768750504456,1
2, Graduate, Yes,15.150511887854474,16.48273883399067,2,5.71042701737487,16.432906463791053,0
1, Graduate, No,15.363073279446223,16.636889503897294,12,6.473890696352274,17.30288566644852,1
1, Not Graduate, No,15.404745967162468,16.341239282272525,2,6.456769655572163,17.491811255187805,1
4, Not Graduate, No,15.319588176962746,16.666217117271472,18,6.7226297948554485,16.75467253293992,1
1, Graduate, Yes,15.943742382861155,16.796129244469636,6,6.1675164908883415,18.259337605294483,0
2, Not Graduate, Yes,15.009433329466965,16.24031337217814,6,6.473890696352274,17.158372397949154,1
2, Graduate, No,15.990262393084793,17.10017416082366,16,6.546785410760524,17.89980480116789,1
5, Not Graduate, Yes,15.573368647930426,16.454567959008102,14,6.037870919922137,17.404569704420307,0
1, Not Graduate, Yes,16.012735246411598,17.050259771358842,16,6.486160788944089,18.02169461684504,1
1, Graduate, No,15.039286283703994,15.967272877502799,6,6.46302945692067,16.855259764781927,1
5, Graduate, No,13.910821646859095,14.845130332288226,14,6.161207321695077,15.520258832020865,0
3, Graduate, Yes,14.151983508870947,14.978661680269907,20,6.650279048587422,16.118095750958314,1
3, Graduate, Yes,15.068273812173887,16.13789837629371,12,6.470799503782602,17.1654146803266,1
2, Not Graduate, Yes,15.176487367510099,16.266515742283485,8,6.695798917058491,17.103912482794517,1
5, Graduate, Yes,15.176487367510099,16.357112630168974,8,6.787844982309579,17.20328495307807,1
1, Not Graduate, Yes,14.77102238760702,15.702580358511794,20,6.641182169740591,15.990262393084793,1
4, Not Graduate, No,13.910821646859095,14.731801689838349,4,6.403574197934815,15.856731016694035,1
2, Graduate, Yes,15.319588176962746,16.349207451286784,2,6.343880434126331,17.265498135541893,1
1, Not Graduate, Yes,15.424948670398354,16.636889503897294,6,6.568077911411976,17.31504387055877,1
0, Not Graduate, Yes,15.931766193248746,16.636889503897294,18,6.0473721790462776,17.7914469078978,0
2, Not Graduate, Yes,15.555976908243359,16.71142255148467,20,6.198478716492308,17.1654146803266,0
1, Graduate, Yes,15.150511887854474,16.118095750958314,16,6.773080375655535,16.915602891887552,1
0, Not Graduate, Yes,16.001561947061912,16.951004817371683,12,6.60934924316738,17.747336210296442,1
3, Not Graduate, Yes,15.894952224644102,17.05810294851229,6,5.823045895483019,17.453096744006448,0
3, Not Graduate, No,14.946912992035967,16.097893045681612,12,6.710523109452428,17.10763688174679,1
5, Not Graduate, No,14.648420115681892,15.555976908243359,18,5.799092654460526,16.61887099947687,0
0, Not Graduate, No,15.978833698567334,17.330036654695338,14,6.62273632394984,17.73946215402054,1
4, Graduate, No,15.775605482856605,17.158372397949154,6,6.7464121285733745,17.695010392348017,1
0, Not Graduate, Yes,15.990262393084793,17.05810294851229,10,6.573680166960646,18.08240689940977,1
5, Graduate, No,15.59046307836746,16.440179222591198,14,5.986452005284438,17.410079360079497,0
3, Graduate, No,16.012735246411598,16.937875526504495,16,6.677083461247136,17.98217579726988,1
1, Graduate, Yes,15.46416937585933,16.475770165160203,18,6.478509642208569,17.179352187684735,1
5, Not Graduate, No,14.731801689838349,15.990262393084793,10,6.646390514847729,16.600521861931007,1
1, Graduate, No,14.603968372873895,15.404745967162468,8,6.234410725718371,16.308716093211594,0
4, Graduate, No,15.919644834185693,17.04235459216419,18,6.539585955617669,17.798923578101068,1
4, Not Graduate, No,14.346139397261565,15.319588176962746,12,6.71174039505618,16.257857680289998,1
0, Graduate, Yes,15.747032114495013,17.103912482794517,20,6.246106765481563,17.460960480260535,0
3, Graduate, Yes,15.623799493077952,16.888203918950687,16,6.061456918928017,17.259128687459263,0
2, Graduate, Yes,15.53827733427679,16.765198945372877,8,5.860786223465865,16.920097281273396,0
2, Graduate, No,15.702580358511794,16.388122864507256,20,6.786716950605081,17.553180200057167,1
3, Not Graduate, Yes,15.009433329466965,16.357112630168974,16,6.411818267709897,17.10763688174679,1
1, Graduate, Yes,12.206077645517674,12.899222326086994,8,6.345636360828596,14.151983508870947,1
4, Not Graduate, Yes,15.803385043104912,16.94664751219259,12,6.744059186311348,17.54840692141843,1
2, Graduate, Yes,15.623799493077952,16.5563506464056,8,6.63200177739563,17.32406648788705,1
1, Not Graduate, Yes,13.45883704259595,14.403297778421795,16,6.464588303689961,15.424948670398354,1
1, Graduate, No,16.056220353623207,17.10017416082366,10,5.840641657373398,17.76482936740394,0
0, Graduate, No,14.914123179965662,15.90737474309945,6,6.52795791762255,16.88356353960952,1
2, Graduate, No,15.803385043104912,17.172407715573055,14,6.453624998892692,17.546011710749845,1
2, Not Graduate, No,16.012735246411598,17.249497794707484,14,6.508769136971682,18.073956145011074,1
0, Not Graduate, Yes,13.997832948091215,14.845130332288226,14,6.794586580876499,15.931766193248746,1
4, Graduate, No,12.899222326086994,14.220976332738882,4,6.741700694652055,14.731801689838349,1
0, Not Graduate, No,15.424948670398354,16.60667572712668,12,6.6039438246004725,16.915602891887552,1
3, Not Graduate, Yes,15.444751293772967,16.14765455028724,12,6.733401891837359,17.426428497635523,1
2, Graduate, Yes,14.403297778421795,15.520258832020865,6,6.1070228877422545,16.128046080821385,0
0, Graduate, No,15.747032114495013,16.845644306544774,16,6.754604099487962,17.80819148486006,1
5, Graduate, Yes,15.274125813221904,16.440179222591198,18,6.428105272684596,17.103912482794517,1
0, Graduate, Yes,15.46416937585933,16.5691713340128,6,6.541029999189903,17.186248766505983,1
0, Not Graduate, Yes,15.363073279446223,16.648723960844016,18,6.688354713946762,17.062001588775953,1
1, Graduate, No,13.122365377402328,14.077875591662238,6,6.508769136971682,15.096444681204078,1
5, Not Graduate, No,14.690979711984754,15.444751293772967,6,6.6293632534374485,16.15731646026544,1
5, Not Graduate, Yes,15.775605482856605,16.88356353960952,4,6.324358962381311,17.67202087460381,1
5, Not Graduate, Yes,15.717618233614914,16.97675731236872,14,6.75110146893676,17.3180604640072,1
1, Not Graduate, Yes,15.096444681204078,16.410765339548004,16,6.597145701886651,16.929025911619092,1
0, Graduate, Yes,14.648420115681892,15.882373444019521,10,6.066108090103747,16.780783675579947,0
2, Not Graduate, No,15.671808704579888,16.98938905874274,18,6.61472560020376,17.555558322405577,1
1, Graduate, No,13.815511557963774,14.914123179965662,18,6.421622267806518,15.882373444019521,1
2, Not Graduate, Yes,15.816990693309524,17.154832571369333,8,5.932245187448011,17.71748324774094,0
2, Graduate, No,14.603968372873895,15.732433317205148,20,6.304448802421981,16.257857680289998,0
4, Not Graduate, No,15.573368647930426,16.36495580701484,2,6.48768401848461,17.00598694946304,1
5, Not Graduate, No,16.056220353623207,17.421008430313073,20,6.79346613258001,17.8879503018341,1
3, Graduate, Yes,13.815511557963774,15.068273812173887,16,6.727431724850855,15.64006001130563,1
0, Graduate, No,15.732433317205148,16.892822864593636,20,6.594413459749778,17.529082649058825,1
1, Graduate, Yes,15.76142084987672,16.588099342704055,4,6.318968113746434,17.842646388318236,1
2, Graduate, No,15.702580358511794,16.959662879739987,16,6.320768294250582,17.57671069691365,1
1, Not Graduate, No,14.77102238760702,15.90737474309945,12,6.75110146893676,16.72786127692704,1
0, Not Graduate, Yes,14.80876270134486,16.128046080821385,20,6.542471960506805,16.034714150714915,0
4, Not Graduate, Yes,15.894952224644102,17.265498135541893,16,6.638567789166521,17.731525604582277,1
4, Not Graduate, Yes,15.717618233614914,17.022313842084035,6,6.212606095751519,17.524192663884193,0
